sample_size,rho_mu,avg_power,sd_power,N,se_power,Level,Model,Total_name,Total_tests,dm,delta_mu
1000,0.05,1e-4,3.077935056255462e-4,20,6.882472016116852e-5,CpG,Continuous (rho; per 1  Pearson correlation),CpG_20M,20000000,1000,NA
1000,0.07,2e-4,4.103913408340616e-4,20,9.17662935482247e-5,CpG,Continuous (rho; per 1  Pearson correlation),CpG_20M,20000000,1000,NA
1000,0.1,0.00785,0.005575085555161322,20,0.0012466270281717869,CpG,Continuous (rho; per 1  Pearson correlation),CpG_20M,20000000,1000,NA
1000,0.15,0.4659,0.05197762676585501,20,0.011622550675756434,CpG,Continuous (rho; per 1  Pearson correlation),CpG_20M,20000000,1000,NA
1000,0.18,0.83225,0.03903962224795672,20,0.008729524916234438,CpG,Continuous (rho; per 1  Pearson correlation),CpG_20M,20000000,1000,NA
1000,0.2,0.9532999999999999,0.014473569377534877,20,0.0032363885005227302,CpG,Continuous (rho; per 1  Pearson correlation),CpG_20M,20000000,1000,NA
1000,NA,0.49135,0.01535638046717493,20,0.003433791061295312,CpG,Binary (delta; 25_75),CpG_20M,20000000,1000,0.01
1000,NA,0.80595,0.01198892032362861,20,0.002680804082046235,CpG,Binary (delta; 25_75),CpG_20M,20000000,1000,0.02
1000,NA,0.9244,0.006475866127805857,20,0.0014480476874962236,CpG,Binary (delta; 25_75),CpG_20M,20000000,1000,0.03
1000,NA,0.9857,0.0042190046219458014,20,9.433981132056612e-4,CpG,Binary (delta; 25_75),CpG_20M,20000000,1000,0.05
1000,NA,0.55515,0.01829948230501557,20,0.0040918886387069356,CpG,Binary (delta; 50_50),CpG_20M,20000000,1000,0.01
1000,NA,0.86205,0.011325216391565756,20,0.0025323953711435905,CpG,Binary (delta; 50_50),CpG_20M,20000000,1000,0.02
1000,NA,0.94865,0.005984849292390883,20,0.0013382529852877527,CpG,Binary (delta; 50_50),CpG_20M,20000000,1000,0.03
1000,NA,0.9914,0.0039390086917502785,20,8.807891198716137e-4,CpG,Binary (delta; 50_50),CpG_20M,20000000,1000,0.05
1000,0.05,1e-4,4.4721359549995795e-4,20,1e-4,CpG,Continuous (rho; per 1  Pearson correlation),CpG_15M,15000000,1000,NA
1000,0.07,1.5000000000000001e-4,3.6634754853252327e-4,20,8.191780219091253e-5,CpG,Continuous (rho; per 1  Pearson correlation),CpG_15M,15000000,1000,NA
1000,0.1,0.01075,0.006264982043070833,20,0.0014008925726121898,CpG,Continuous (rho; per 1  Pearson correlation),CpG_15M,15000000,1000,NA
1000,0.15,0.47085,0.05006445845108085,20,0.01119475323533306,CpG,Continuous (rho; per 1  Pearson correlation),CpG_15M,15000000,1000,NA
1000,0.18,0.85375,0.03880297736812961,20,0.008676609512452369,CpG,Continuous (rho; per 1  Pearson correlation),CpG_15M,15000000,1000,NA
1000,0.2,0.96005,0.011445408180622169,20,0.002559271072210336,CpG,Continuous (rho; per 1  Pearson correlation),CpG_15M,15000000,1000,NA
1000,NA,0.49385,0.017856960901328628,20,0.003992937844692673,CpG,Binary (delta; 25_75),CpG_15M,15000000,1000,0.01
1000,NA,0.8201999999999999,0.011330443387988862,20,0.002533564163075612,CpG,Binary (delta; 25_75),CpG_15M,15000000,1000,0.02
1000,NA,0.92845,0.008204459634536367,20,0.0018345729461476396,CpG,Binary (delta; 25_75),CpG_15M,15000000,1000,0.03
1000,NA,0.98605,0.003379115424579575,20,7.555931793177993e-4,CpG,Binary (delta; 25_75),CpG_15M,15000000,1000,0.05
1000,NA,0.56825,0.017905820870673054,20,0.004003863265975942,CpG,Binary (delta; 50_50),CpG_15M,15000000,1000,0.01
1000,NA,0.86855,0.01123657093226353,20,0.002512573643853944,CpG,Binary (delta; 50_50),CpG_15M,15000000,1000,0.02
1000,NA,0.9514499999999999,0.007423114681786041,20,0.0016598589033250306,CpG,Binary (delta; 50_50),CpG_15M,15000000,1000,0.03
1000,NA,0.99325,0.002173403830521683,20,4.8598787076049155e-4,CpG,Binary (delta; 50_50),CpG_15M,15000000,1000,0.05
1000,0.05,2e-4,5.23148363780597e-4,20,1.1697953037312036e-4,Region,Continuous (rho; per 1  Pearson correlation),Region_500K,500000,1000,NA
1000,0.07,0.00175,0.0024468024246479645,20,5.471216549024155e-4,Region,Continuous (rho; per 1  Pearson correlation),Region_500K,500000,1000,NA
1000,0.1,0.11225,0.017627356132174966,20,0.003941596657514099,Region,Continuous (rho; per 1  Pearson correlation),Region_500K,500000,1000,NA
1000,0.15,0.78745,0.03471458816663317,20,0.007762417895150156,Region,Continuous (rho; per 1  Pearson correlation),Region_500K,500000,1000,NA
1000,0.18,0.9711,0.009078024361929726,20,0.0020299079574674023,Region,Continuous (rho; per 1  Pearson correlation),Region_500K,500000,1000,NA
1000,0.2,0.9931,0.004666791978267415,20,0.0010435264100256661,Region,Continuous (rho; per 1  Pearson correlation),Region_500K,500000,1000,NA
1000,NA,0.5807,0.01924112919325626,20,0.004302447283997668,Region,Binary (delta; 25_75),Region_500K,500000,1000,0.01
1000,NA,0.87015,0.008779611548774158,20,0.0019631808239101226,Region,Binary (delta; 25_75),Region_500K,500000,1000,0.02
1000,NA,0.95575,0.0058568448484612795,20,0.0013096303214828874,Region,Binary (delta; 25_75),Region_500K,500000,1000,0.03
1000,NA,0.9924499999999999,0.0027042850986419413,20,6.046965311103104e-4,Region,Binary (delta; 25_75),Region_500K,500000,1000,0.05
1000,NA,0.6491,0.015956849708873597,20,0.003568060065578909,Region,Binary (delta; 50_50),Region_500K,500000,1000,0.01
1000,NA,0.9077000000000001,0.009177202876235172,20,0.002052084947456843,Region,Binary (delta; 50_50),Region_500K,500000,1000,0.02
1000,NA,0.97225,0.004216196839507581,20,9.427702739658721e-4,Region,Binary (delta; 50_50),Region_500K,500000,1000,0.03
1000,NA,0.99545,0.0024381831026617493,20,5.451943159143019e-4,Region,Binary (delta; 50_50),Region_500K,500000,1000,0.05
1000,0.05,0.001,0.0014509525002200233,20,3.2444284226152505e-4,Region,Continuous (rho; per 1  Pearson correlation),Region_100K,100000,1000,NA
1000,0.07,0.00925,0.006919651649278916,20,0.0015472811468406188,Region,Continuous (rho; per 1  Pearson correlation),Region_100K,100000,1000,NA
1000,0.1,0.258,0.029868131229755478,20,0.0066787171790617635,Region,Continuous (rho; per 1  Pearson correlation),Region_100K,100000,1000,NA
1000,0.15,0.9031,0.022149967328002538,20,0.004952883264481306,Region,Continuous (rho; per 1  Pearson correlation),Region_100K,100000,1000,NA
1000,0.18,0.99035,0.0049126581935155875,20,0.001098503767092217,Region,Continuous (rho; per 1  Pearson correlation),Region_100K,100000,1000,NA
1000,0.2,0.9983,0.0016254554017744993,20,3.634628772762013e-4,Region,Continuous (rho; per 1  Pearson correlation),Region_100K,100000,1000,NA
