sample_size,dm,Total_name,Total_tests,Level,Model,target_power,mdes_effect,achieved_power_at_mdes,max_tested_effect,achieved_power_at_max,n1_prop
900,500,CpG_15M,15000000,CpG,Binary (delta; 25_75),0.8,0.03,0.9089,0.05,0.9824999999999999,0.25
900,1000,CpG_15M,15000000,CpG,Binary (delta; 25_75),0.8,0.03,0.91805,0.05,0.983,0.25
1000,500,CpG_15M,15000000,CpG,Binary (delta; 25_75),0.8,0.03,0.9216000000000001,0.05,0.9823999999999999,0.25
1000,1000,CpG_15M,15000000,CpG,Binary (delta; 25_75),0.8,0.02,0.8121,0.05,0.9868,0.25
1100,500,CpG_15M,15000000,CpG,Binary (delta; 25_75),0.8,0.02,0.8192,0.05,0.988,0.25
1100,1000,CpG_15M,15000000,CpG,Binary (delta; 25_75),0.8,0.02,0.8316,0.05,0.9868,0.25
1200,500,CpG_15M,15000000,CpG,Binary (delta; 25_75),0.8,0.02,0.8371999999999999,0.05,0.9903,0.25
1200,1000,CpG_15M,15000000,CpG,Binary (delta; 25_75),0.8,0.02,0.84455,0.05,0.99165,0.25
900,500,CpG_15M,15000000,CpG,Binary (delta; 50_50),0.8,0.02,0.8296,0.05,0.9883,0.5
900,1000,CpG_15M,15000000,CpG,Binary (delta; 50_50),0.8,0.02,0.8433499999999999,0.05,0.99,0.5
1000,500,CpG_15M,15000000,CpG,Binary (delta; 50_50),0.8,0.02,0.8528,0.05,0.9903,0.5
1000,1000,CpG_15M,15000000,CpG,Binary (delta; 50_50),0.8,0.02,0.8582,0.05,0.99195,0.5
1100,500,CpG_15M,15000000,CpG,Binary (delta; 50_50),0.8,0.02,0.8665,0.05,0.992,0.5
1100,1000,CpG_15M,15000000,CpG,Binary (delta; 50_50),0.8,0.02,0.8732,0.05,0.993,0.5
1200,500,CpG_15M,15000000,CpG,Binary (delta; 50_50),0.8,0.02,0.8785000000000001,0.05,0.9938,0.5
1200,1000,CpG_15M,15000000,CpG,Binary (delta; 50_50),0.8,0.02,0.889,0.05,0.99375,0.5
900,500,CpG_15M,15000000,CpG,Continuous (rho; Pearson correlation),0.8,0.2,0.8922,0.2,0.8922,NA
900,1000,CpG_15M,15000000,CpG,Continuous (rho; Pearson correlation),0.8,0.2,0.9159,0.2,0.9159,NA
1000,500,CpG_15M,15000000,CpG,Continuous (rho; Pearson correlation),0.8,0.18,0.8247,0.2,0.9507,NA
1000,1000,CpG_15M,15000000,CpG,Continuous (rho; Pearson correlation),0.8,0.18,0.86385,0.2,0.95614999999999994,NA
1100,500,CpG_15M,15000000,CpG,Continuous (rho; Pearson correlation),0.8,0.18,0.8941,0.2,0.9724999999999999,NA
1100,1000,CpG_15M,15000000,CpG,Continuous (rho; Pearson correlation),0.8,0.18,0.9186000000000001,0.2,0.9823,NA
1200,500,CpG_15M,15000000,CpG,Continuous (rho; Pearson correlation),0.8,0.18,0.9269,0.2,0.9862,NA
1200,1000,CpG_15M,15000000,CpG,Continuous (rho; Pearson correlation),0.8,0.18,0.94855,0.2,0.98895,NA
900,500,CpG_20M,20000000,CpG,Binary (delta; 25_75),0.8,0.03,0.91,0.05,0.9803,0.25
900,1000,CpG_20M,20000000,CpG,Binary (delta; 25_75),0.8,0.03,0.913,0.05,0.9822,0.25
1000,500,CpG_20M,20000000,CpG,Binary (delta; 25_75),0.8,0.02,0.8035,0.05,0.9835,0.25
1000,1000,CpG_20M,20000000,CpG,Binary (delta; 25_75),0.8,0.02,0.8084,0.05,0.986,0.25
1100,500,CpG_20M,20000000,CpG,Binary (delta; 25_75),0.8,0.02,0.8182,0.05,0.9859,0.25
1100,1000,CpG_20M,20000000,CpG,Binary (delta; 25_75),0.8,0.02,0.82775,0.05,0.9874499999999999,0.25
1200,500,CpG_20M,20000000,CpG,Binary (delta; 25_75),0.8,0.02,0.8353999999999999,0.05,0.9892,0.25
1200,1000,CpG_20M,20000000,CpG,Binary (delta; 25_75),0.8,0.02,0.84715,0.05,0.9904,0.25
900,500,CpG_20M,20000000,CpG,Binary (delta; 50_50),0.8,0.02,0.8303,0.05,0.9878,0.5
900,1000,CpG_20M,20000000,CpG,Binary (delta; 50_50),0.8,0.02,0.84585,0.05,0.98895,0.5
1000,500,CpG_20M,20000000,CpG,Binary (delta; 50_50),0.8,0.02,0.8512,0.05,0.9919,0.5
1000,1000,CpG_20M,20000000,CpG,Binary (delta; 50_50),0.8,0.02,0.8607,0.05,0.99175,0.5
1100,500,CpG_20M,20000000,CpG,Binary (delta; 50_50),0.8,0.02,0.8586,0.05,0.9919,0.5
1100,1000,CpG_20M,20000000,CpG,Binary (delta; 50_50),0.8,0.02,0.8711,0.05,0.9937,0.5
1200,500,CpG_20M,20000000,CpG,Binary (delta; 50_50),0.8,0.02,0.8789,0.05,0.994,0.5
1200,1000,CpG_20M,20000000,CpG,Binary (delta; 50_50),0.8,0.02,0.8845500000000001,0.05,0.9936,0.5
900,500,CpG_20M,20000000,CpG,Continuous (rho; Pearson correlation),0.8,0.2,0.8792,0.2,0.8792,NA
900,1000,CpG_20M,20000000,CpG,Continuous (rho; Pearson correlation),0.8,0.2,0.9142,0.2,0.9142,NA
1000,500,CpG_20M,20000000,CpG,Continuous (rho; Pearson correlation),0.8,0.18,0.8047,0.2,0.9318,NA
1000,1000,CpG_20M,20000000,CpG,Continuous (rho; Pearson correlation),0.8,0.18,0.8324,0.2,0.95855,NA
1100,500,CpG_20M,20000000,CpG,Continuous (rho; Pearson correlation),0.8,0.18,0.8721,0.2,0.9673999999999999,NA
1100,1000,CpG_20M,20000000,CpG,Continuous (rho; Pearson correlation),0.8,0.18,0.90825,0.2,0.97455,NA
1200,500,CpG_20M,20000000,CpG,Continuous (rho; Pearson correlation),0.8,0.18,0.9238,0.2,0.9855,NA
1200,1000,CpG_20M,20000000,CpG,Continuous (rho; Pearson correlation),0.8,0.18,0.941,0.2,0.9882,NA
900,500,Region_20K,20000,Region,Binary (delta; 25_75),0.8,0.02,0.9031,0.05,0.994,0.25
900,1000,Region_20K,20000,Region,Binary (delta; 25_75),0.8,0.02,0.9156000000000001,0.05,0.9963,0.25
1000,500,Region_20K,20000,Region,Binary (delta; 25_75),0.8,0.02,0.9133,0.05,0.9972,0.25
1000,1000,Region_20K,20000,Region,Binary (delta; 25_75),0.8,0.02,0.9277500000000001,0.05,0.9968,0.25
1100,500,Region_20K,20000,Region,Binary (delta; 25_75),0.8,0.02,0.9246000000000001,0.05,0.9966,0.25
1100,1000,Region_20K,20000,Region,Binary (delta; 25_75),0.8,0.02,0.931,0.05,0.99765,0.25
1200,500,Region_20K,20000,Region,Binary (delta; 25_75),0.8,0.02,0.9315,0.05,0.9977,0.25
1200,1000,Region_20K,20000,Region,Binary (delta; 25_75),0.8,0.02,0.9400999999999999,0.05,0.9977,0.25
900,500,Region_20K,20000,Region,Binary (delta; 50_50),0.8,0.02,0.9328000000000001,0.05,0.9973,0.5
900,1000,Region_20K,20000,Region,Binary (delta; 50_50),0.8,0.02,0.9425,0.05,0.99805,0.5
1000,500,Region_20K,20000,Region,Binary (delta; 50_50),0.8,0.02,0.9430999999999999,0.05,0.9979,0.5
1000,1000,Region_20K,20000,Region,Binary (delta; 50_50),0.8,0.02,0.9503999999999999,0.05,0.9982,0.5
1100,500,Region_20K,20000,Region,Binary (delta; 50_50),0.8,0.02,0.9477,0.05,0.9989,0.5
1100,1000,Region_20K,20000,Region,Binary (delta; 50_50),0.8,0.02,0.95245,0.05,0.999,0.5
1200,500,Region_20K,20000,Region,Binary (delta; 50_50),0.8,0.02,0.9548,0.05,0.9984,0.5
1200,1000,Region_20K,20000,Region,Binary (delta; 50_50),0.8,0.02,0.96395,0.05,0.99885,0.5
900,500,Region_20K,20000,Region,Continuous (rho; Pearson correlation),0.8,0.15,0.9014,0.2,0.998,NA
900,1000,Region_20K,20000,Region,Continuous (rho; Pearson correlation),0.8,0.15,0.93115,0.2,0.9986,NA
1000,500,Region_20K,20000,Region,Continuous (rho; Pearson correlation),0.8,0.15,0.9398,0.2,0.9991,NA
1000,1000,Region_20K,20000,Region,Continuous (rho; Pearson correlation),0.8,0.15,0.96155,0.2,0.99925,NA
1100,500,Region_20K,20000,Region,Continuous (rho; Pearson correlation),0.8,0.15,0.9595,0.2,0.9998,NA
1100,1000,Region_20K,20000,Region,Continuous (rho; Pearson correlation),0.8,0.15,0.9783499999999999,0.2,0.99985,NA
1200,500,Region_20K,20000,Region,Continuous (rho; Pearson correlation),0.8,0.15,0.9749,0.2,1,NA
1200,1000,Region_20K,20000,Region,Continuous (rho; Pearson correlation),0.8,0.15,0.98625,0.2,1,NA
900,500,Region_100K,100000,Region,Binary (delta; 25_75),0.8,0.02,0.8707,0.05,0.993,0.25
900,1000,Region_100K,100000,Region,Binary (delta; 25_75),0.8,0.02,0.88745,0.05,0.99295,0.25
1000,500,Region_100K,100000,Region,Binary (delta; 25_75),0.8,0.02,0.8902,0.05,0.9934,0.25
1000,1000,Region_100K,100000,Region,Binary (delta; 25_75),0.8,0.02,0.9006000000000001,0.05,0.99425,0.25
1100,500,Region_100K,100000,Region,Binary (delta; 25_75),0.8,0.02,0.8972,0.05,0.9936,0.25
1100,1000,Region_100K,100000,Region,Binary (delta; 25_75),0.8,0.02,0.9093,0.05,0.9959,0.25
1200,500,Region_100K,100000,Region,Binary (delta; 25_75),0.8,0.02,0.9107000000000001,0.05,0.9961,0.25
1200,1000,Region_100K,100000,Region,Binary (delta; 25_75),0.8,0.02,0.9193,0.05,0.99705,0.25
900,500,Region_100K,100000,Region,Binary (delta; 50_50),0.8,0.02,0.9072,0.05,0.9954,0.5
900,1000,Region_100K,100000,Region,Binary (delta; 50_50),0.8,0.02,0.91805,0.05,0.99605,0.5
1000,500,Region_100K,100000,Region,Binary (delta; 50_50),0.8,0.02,0.9151,0.05,0.996,0.5
1000,1000,Region_100K,100000,Region,Binary (delta; 50_50),0.8,0.02,0.9278000000000001,0.05,0.9977,0.5
1100,500,Region_100K,100000,Region,Binary (delta; 50_50),0.8,0.02,0.926,0.05,0.998,0.5
1100,1000,Region_100K,100000,Region,Binary (delta; 50_50),0.8,0.02,0.9391499999999999,0.05,0.99785,0.5
1200,500,Region_100K,100000,Region,Binary (delta; 50_50),0.8,0.02,0.9404,0.05,0.9984,0.5
1200,1000,Region_100K,100000,Region,Binary (delta; 50_50),0.8,0.02,0.9488,0.05,0.99785,0.5
900,500,Region_100K,100000,Region,Continuous (rho; Pearson correlation),0.8,0.18,0.9642999999999999,0.2,0.9915,NA
900,1000,Region_100K,100000,Region,Continuous (rho; Pearson correlation),0.8,0.15,0.8406,0.2,0.9943,NA
1000,500,Region_100K,100000,Region,Continuous (rho; Pearson correlation),0.8,0.15,0.8462999999999999,0.2,0.9964999999999999,NA
