sample_size,delta_mu,avg_power,sd_power,N,se_power,Level,Model,Total_name,Total_tests,dm,n1_prop
900,0.01,0.4485,0.022802354449070663,20,0.005098761459516677,CpG,Binary (delta; 25_75),CpG_20M,20000000,500,0.25
1000,0.01,0.4723,0.019876195760123134,20,0.004444452485372843,CpG,Binary (delta; 25_75),CpG_20M,20000000,500,0.25
1100,0.01,0.4993,0.025631189881408986,20,0.005731308291903527,CpG,Binary (delta; 25_75),CpG_20M,20000000,500,0.25
1200,0.01,0.5176000000000001,0.02043320311340551,20,0.0045690031159635065,CpG,Binary (delta; 25_75),CpG_20M,20000000,500,0.25
900,0.02,0.7771,0.020990975504525257,20,0.004693724814215141,CpG,Binary (delta; 25_75),CpG_20M,20000000,500,0.25
1000,0.02,0.8035,0.019914290029233284,20,0.0044529706229011895,CpG,Binary (delta; 25_75),CpG_20M,20000000,500,0.25
1100,0.02,0.8182,0.015839989367354187,20,0.003541929298827785,CpG,Binary (delta; 25_75),CpG_20M,20000000,500,0.25
1200,0.02,0.8353999999999999,0.01710770832725781,20,0.003825399875898768,CpG,Binary (delta; 25_75),CpG_20M,20000000,500,0.25
900,0.03,0.91,0.0126324561098949,20,0.002824703058450755,CpG,Binary (delta; 25_75),CpG_20M,20000000,500,0.25
1000,0.03,0.9219,0.013162546546126518,20,0.002943234883414396,CpG,Binary (delta; 25_75),CpG_20M,20000000,500,0.25
1100,0.03,0.929,0.012740321403861193,20,0.002848822471422918,CpG,Binary (delta; 25_75),CpG_20M,20000000,500,0.25
1200,0.03,0.9337,0.013143339317732455,20,0.0029389400165795478,CpG,Binary (delta; 25_75),CpG_20M,20000000,500,0.25
900,0.05,0.9803,0.0052825432471390885,20,0.0011812125794685472,CpG,Binary (delta; 25_75),CpG_20M,20000000,500,0.25
1000,0.05,0.9835,0.005424117682312857,20,0.0012128695855610158,CpG,Binary (delta; 25_75),CpG_20M,20000000,500,0.25
1100,0.05,0.9859,0.005562089724668527,20,0.0012437210721311914,CpG,Binary (delta; 25_75),CpG_20M,20000000,500,0.25
1200,0.05,0.9892,0.004829732475973563,20,0.0010799610129415256,CpG,Binary (delta; 25_75),CpG_20M,20000000,500,0.25
900,0.01,0.5147,0.02544984748170617,20,0.005690758898609683,CpG,Binary (delta; 50_50),CpG_20M,20000000,500,0.5
