sample_size,delta_mu,avg_power,sd_power,N,se_power,Level,Model,Total_name,Total_tests,dm,n1_prop
900,0.01,0.525,0.020789673550005307,20,0.004648712328784123,Region,Binary (delta; 25_75),Region_500K,500000,500,0.25
1000,0.01,0.573,0.02977459178207944,20,0.006657801122703623,Region,Binary (delta; 25_75),Region_500K,500000,500,0.25
1100,0.01,0.5843,0.02510001048437608,20,0.005612532967902233,Region,Binary (delta; 25_75),Region_500K,500000,500,0.25
1200,0.01,0.5963999999999999,0.019709468736998897,20,0.004407171189633645,Region,Binary (delta; 25_75),Region_500K,500000,500,0.25
900,0.02,0.8351999999999999,0.016925844455338568,20,0.003784733877872494,Region,Binary (delta; 25_75),Region_500K,500000,500,0.25
1000,0.02,0.86239999999999994,0.0186333035181634,20,0.004166533331199935,Region,Binary (delta; 25_75),Region_500K,500000,500,0.25
1100,0.02,0.8729,0.018243672298837454,20,0.004079409141943041,Region,Binary (delta; 25_75),Region_500K,500000,500,0.25
1200,0.02,0.8863,0.014294275630107111,20,0.003196297199803814,Region,Binary (delta; 25_75),Region_500K,500000,500,0.25
900,0.03,0.938,0.009199542322711913,20,0.002057080199547014,Region,Binary (delta; 25_75),Region_500K,500000,500,0.25
1000,0.03,0.9457,0.01184594089929007,20,0.002648832910825759,Region,Binary (delta; 25_75),Region_500K,500000,500,0.25
1100,0.03,0.9558,0.007592239805430148,20,0.0016976764306421586,Region,Binary (delta; 25_75),Region_500K,500000,500,0.25
1200,0.03,0.9631,0.007181115585522327,20,0.0016057462603511128,Region,Binary (delta; 25_75),Region_500K,500000,500,0.25
900,0.05,0.9894,0.005807436249281928,20,0.0012985822228390805,Region,Binary (delta; 25_75),Region_500K,500000,500,0.25
1000,0.05,0.9915,0.0036055512754639926,20,8.062257748298557e-4,Region,Binary (delta; 25_75),Region_500K,500000,500,0.25
1100,0.05,0.9941,0.004327391337685294,20,9.676341196308063e-4,Region,Binary (delta; 25_75),Region_500K,500000,500,0.25
1200,0.05,0.9937,0.0030625067132042452,20,6.847973192274145e-4,Region,Binary (delta; 25_75),Region_500K,500000,500,0.25
900,0.01,0.6018,0.02726015021003524,20,0.006095554894649397,Region,Binary (delta; 50_50),Region_500K,500000,500,0.5
1000,0.01,0.6306,0.02244150290492105,20,0.005018072601266246,Region,Binary (delta; 50_50),Region_500K,500000,500,0.5
1100,0.01,0.6564,0.022753600062176388,20,0.005087859647186984,Region,Binary (delta; 50_50),Region_500K,500000,500,0.5
1200,0.01,0.672,0.024043819645761234,20,0.005376361516666703,Region,Binary (delta; 50_50),Region_500K,500000,500,0.5
900,0.02,0.8867,0.015276745313332335,20,0.0034159840995562425,Region,Binary (delta; 50_50),Region_500K,500000,500,0.5
1000,0.02,0.8991,0.01357203006185885,20,0.0030347981810987064,Region,Binary (delta; 50_50),Region_500K,500000,500,0.5
1100,0.02,0.9125000000000001,0.011367080817685327,20,0.0025417565414078283,Region,Binary (delta; 50_50),Region_500K,500000,500,0.5
1200,0.02,0.9168000000000001,0.01569981562077453,20,0.003510585496226491,Region,Binary (delta; 50_50),Region_500K,500000,500,0.5
900,0.03,0.9581,0.01130393503911011,20,0.002527636716069195,Region,Binary (delta; 50_50),Region_500K,500000,500,0.5
1000,0.03,0.97,0.008777962837637644,20,0.001962812160892472,Region,Binary (delta; 50_50),Region_500K,500000,500,0.5
1100,0.03,0.9732999999999999,0.007434627375364983,20,0.0016624332198696948,Region,Binary (delta; 50_50),Region_500K,500000,500,0.5
1200,0.03,0.9759,0.005674504383644448,20,0.0012688577540449532,Region,Binary (delta; 50_50),Region_500K,500000,500,0.5
900,0.05,0.9924,0.003283130726672496,20,7.341303483857982e-4,Region,Binary (delta; 50_50),Region_500K,500000,500,0.5
1000,0.05,0.995,0.0033403435058152516,20,7.469235147202866e-4,Region,Binary (delta; 50_50),Region_500K,500000,500,0.5
1100,0.05,0.9959,0.002198085291195141,20,4.915068131454755e-4,Region,Binary (delta; 50_50),Region_500K,500000,500,0.5
1200,0.05,0.9962,0.0022384204957490634,20,5.005260390723684e-4,Region,Binary (delta; 50_50),Region_500K,500000,500,0.5
900,0.01,0.5907,0.024255438890885345,20,0.005423681018411173,Region,Binary (delta; 25_75),Region_100K,100000,500,0.25
1000,0.01,0.6111,0.022817121918234543,20,0.005102063566007283,Region,Binary (delta; 25_75),Region_100K,100000,500,0.25
1100,0.01,0.6281,0.026217511223166155,20,0.005862413729586318,Region,Binary (delta; 25_75),Region_100K,100000,500,0.25
1200,0.01,0.6595,0.014623341111495618,20,0.003269878478347153,Region,Binary (delta; 25_75),Region_100K,100000,500,0.25
900,0.02,0.8707,0.018708568259377577,20,0.004183363038966318,Region,Binary (delta; 25_75),Region_100K,100000,500,0.25
1000,0.02,0.8902,0.013089167879948443,20,0.0029268269148471525,Region,Binary (delta; 25_75),Region_100K,100000,500,0.25
1100,0.02,0.8972,0.014237090181708677,20,0.0031835101448095433,Region,Binary (delta; 25_75),Region_100K,100000,500,0.25
1200,0.02,0.9107000000000001,0.011017211415254826,20,0.0024635233646996455,Region,Binary (delta; 25_75),Region_100K,100000,500,0.25
900,0.03,0.9532999999999999,0.010387745816966,20,0.0023227705779725063,Region,Binary (delta; 25_75),Region_100K,100000,500,0.25
1000,0.03,0.9639,0.008837122656278196,20,0.0019760406984941554,Region,Binary (delta; 25_75),Region_100K,100000,500,0.25
1100,0.03,0.9667,0.00904433524367602,20,0.0020223748416156703,Region,Binary (delta; 25_75),Region_100K,100000,500,0.25
1200,0.03,0.9681,0.007690732632269355,20,0.001719700096253017,Region,Binary (delta; 25_75),Region_100K,100000,500,0.25
900,0.05,0.993,0.003811340418996145,20,8.52241626226791e-4,Region,Binary (delta; 25_75),Region_100K,100000,500,0.25
1000,0.05,0.9934,0.004500292388161841,20,0.0010062959698554745,Region,Binary (delta; 25_75),Region_100K,100000,500,0.25
1100,0.05,0.9936,0.002562893102068752,20,5.730803195291036e-4,Region,Binary (delta; 25_75),Region_100K,100000,500,0.25
1200,0.05,0.9961,0.00293616290957756,20,6.565459858828992e-4,Region,Binary (delta; 25_75),Region_100K,100000,500,0.25
900,0.01,0.6553,0.01679943608076115,20,0.0037564681060244572,Region,Binary (delta; 50_50),Region_100K,100000,500,0.5
1000,0.01,0.6815,0.021598001856896976,20,0.004829460033018832,Region,Binary (delta; 50_50),Region_100K,100000,500,0.5
1100,0.01,0.7049,0.025525838302642108,20,0.00570775096273756,Region,Binary (delta; 50_50),Region_100K,100000,500,0.5
1200,0.01,0.7182,0.022523905429331605,20,0.0050364983658762056,Region,Binary (delta; 50_50),Region_100K,100000,500,0.5
900,0.02,0.9072,0.013524247230729518,20,0.0030241136152424483,Region,Binary (delta; 50_50),Region_100K,100000,500,0.5
1000,0.02,0.9151,0.012405007477882297,20,0.0027738439981938035,Region,Binary (delta; 50_50),Region_100K,100000,500,0.5
1100,0.02,0.926,0.01246468696167822,20,0.0027871887364567817,Region,Binary (delta; 50_50),Region_100K,100000,500,0.5
1200,0.02,0.9404,0.010985157450420344,20,0.0024563558802678164,Region,Binary (delta; 50_50),Region_100K,100000,500,0.5
900,0.03,0.9697,0.005849876291989345,20,0.0013080721048852584,Region,Binary (delta; 50_50),Region_100K,100000,500,0.5
1000,0.03,0.9771,0.006972879794717462,20,0.0015591833219923024,Region,Binary (delta; 50_50),Region_100K,100000,500,0.5
1100,0.03,0.9817,0.006061960773631969,20,0.0013554956366778298,Region,Binary (delta; 50_50),Region_100K,100000,500,0.5
1200,0.03,0.9816,0.0050513156181023035,20,0.0011295085097883118,Region,Binary (delta; 50_50),Region_100K,100000,500,0.5
900,0.05,0.9954,0.003315037508718498,20,7.412649217456113e-4,Region,Binary (delta; 50_50),Region_100K,100000,500,0.5
1000,0.05,0.996,0.0033086807674740475,20,7.398435111918145e-4,Region,Binary (delta; 50_50),Region_100K,100000,500,0.5
1100,0.05,0.998,0.0019466570535691522,20,4.352857500660074e-4,Region,Binary (delta; 50_50),Region_100K,100000,500,0.5
1200,0.05,0.9984,0.0017888543819998333,20,4.0000000000000034e-4,Region,Binary (delta; 50_50),Region_100K,100000,500,0.5
900,0.01,0.6518,0.021125190749683827,20,0.004723736255394278,Region,Binary (delta; 25_75),Region_20K,20000,500,0.25
1000,0.01,0.6754,0.015988153509132266,20,0.0035750598081121547,Region,Binary (delta; 25_75),Region_20K,20000,500,0.25
1100,0.01,0.6969,0.01874454306556554,20,0.004191407250177684,Region,Binary (delta; 25_75),Region_20K,20000,500,0.25
1200,0.01,0.7162999999999999,0.020347248617830112,20,0.004549783106455677,Region,Binary (delta; 25_75),Region_20K,20000,500,0.25
900,0.02,0.9031,0.012060810830733442,20,0.0026968792881285684,Region,Binary (delta; 25_75),Region_20K,20000,500,0.25
1000,0.02,0.9133,0.011503317599261263,20,0.0025722200118717866,Region,Binary (delta; 25_75),Region_20K,20000,500,0.25
1100,0.02,0.9246000000000001,0.01169975258397867,20,0.002616144209770512,Region,Binary (delta; 25_75),Region_20K,20000,500,0.25
1200,0.02,0.9315,0.012343760409722427,20,0.002760148737411,Region,Binary (delta; 25_75),Region_20K,20000,500,0.25
900,0.03,0.972,0.008849620866098409,20,0.0019788353831696605,Region,Binary (delta; 25_75),Region_20K,20000,500,0.25
1000,0.03,0.9746,0.006327883158146803,20,0.0014149576895292303,Region,Binary (delta; 25_75),Region_20K,20000,500,0.25
1100,0.03,0.9793,0.007657813347369992,20,0.0017123391203724512,Region,Binary (delta; 25_75),Region_20K,20000,500,0.25
1200,0.03,0.9797,0.007056911505750946,20,0.0015779733838059513,Region,Binary (delta; 25_75),Region_20K,20000,500,0.25
900,0.05,0.994,0.0033086807674740475,20,7.398435111918145e-4,Region,Binary (delta; 25_75),Region_20K,20000,500,0.25
1000,0.05,0.9972,0.002375311613906248,20,5.311358236439105e-4,Region,Binary (delta; 25_75),Region_20K,20000,500,0.25
1100,0.05,0.9966,0.0024365635853109127,20,5.448321808255808e-4,Region,Binary (delta; 25_75),Region_20K,20000,500,0.25
1200,0.05,0.9977,0.0018666040089734609,20,4.1738534511382856e-4,Region,Binary (delta; 25_75),Region_20K,20000,500,0.25
900,0.01,0.7132999999999999,0.017329925440966957,20,0.003875089133100513,Region,Binary (delta; 50_50),Region_20K,20000,500,0.5
1000,0.01,0.7361,0.019579527439058452,20,0.004378115432105706,Region,Binary (delta; 50_50),Region_20K,20000,500,0.5
1100,0.01,0.767,0.017137217117324396,20,0.003831998241951034,Region,Binary (delta; 50_50),Region_20K,20000,500,0.5
1200,0.01,0.7744,0.01804788951067338,20,0.0040356307796271095,Region,Binary (delta; 50_50),Region_20K,20000,500,0.5
900,0.02,0.9328000000000001,0.007931283827848697,20,0.0017734889787914424,Region,Binary (delta; 50_50),Region_20K,20000,500,0.5
1000,0.02,0.9430999999999999,0.011303935039110074,20,0.002527636716069187,Region,Binary (delta; 50_50),Region_20K,20000,500,0.5
1100,0.02,0.9477,0.010628165163227454,20,0.0023765299781071734,Region,Binary (delta; 50_50),Region_20K,20000,500,0.5
1200,0.02,0.9548,0.008036757659915511,20,0.0017970736446263219,Region,Binary (delta; 50_50),Region_20K,20000,500,0.5
900,0.03,0.9796,0.007243145580114825,20,0.0016196165888063899,Region,Binary (delta; 50_50),Region_20K,20000,500,0.5
1000,0.03,0.9847,0.0045084715580198265,20,0.001008124887835672,Region,Binary (delta; 50_50),Region_20K,20000,500,0.5
1100,0.03,0.9876,0.0048817598207376465,20,0.0010915946808996565,Region,Binary (delta; 50_50),Region_20K,20000,500,0.5
1200,0.03,0.9881,0.0037542957851114086,20,8.394860583150052e-4,Region,Binary (delta; 50_50),Region_20K,20000,500,0.5
900,0.05,0.9973,0.002696976865033575,20,6.030623603959349e-4,Region,Binary (delta; 50_50),Region_20K,20000,500,0.5
1000,0.05,0.9979,0.00229186203313973,20,5.124759301151312e-4,Region,Binary (delta; 50_50),Region_20K,20000,500,0.5
1100,0.05,0.9989,0.0021001253095445237,20,4.696022953409343e-4,Region,Binary (delta; 50_50),Region_20K,20000,500,0.5
1200,0.05,0.9984,0.0020104987598001402,20,4.495611895592135e-4,Region,Binary (delta; 50_50),Region_20K,20000,500,0.5
900,0.01,0.55965,0.014437797615980043,20,0.003228389691471578,Region,Binary (delta; 25_75),Region_500K,500000,1000,0.25
1000,0.01,0.5833999999999999,0.016310797198885087,20,0.003647205130392021,Region,Binary (delta; 25_75),Region_500K,500000,1000,0.25
1100,0.01,0.61105,0.020520785354828604,20,0.00458858710050789,Region,Binary (delta; 25_75),Region_500K,500000,1000,0.25
