sample_size,rho_mu,avg_power,sd_power,N,se_power,Level,Model,Total_name,Total_tests,dm
900,0.05,0,0,20,0,Region,Continuous (rho; Pearson correlation),Region_500K,500000,500
1000,0.05,2e-4,6.155870112510924e-4,20,1.3764944032233705e-4,Region,Continuous (rho; Pearson correlation),Region_500K,500000,500
1100,0.05,1e-4,4.4721359549995795e-4,20,1e-4,Region,Continuous (rho; Pearson correlation),Region_500K,500000,500
1200,0.05,1e-4,4.4721359549995795e-4,20,1e-4,Region,Continuous (rho; Pearson correlation),Region_500K,500000,500
900,0.07,9e-4,0.0015183093090324964,20,3.3950428258673973e-4,Region,Continuous (rho; Pearson correlation),Region_500K,500000,500
1000,0.07,0.0026,0.0031187041843486352,20,6.973634557916583e-4,Region,Continuous (rho; Pearson correlation),Region_500K,500000,500
1100,0.07,0.0034000000000000002,0.0046385115579983425,20,0.001037202715810275,Region,Continuous (rho; Pearson correlation),Region_500K,500000,500
1200,0.07,0.003,0.0038661826678330438,20,8.645047258706175e-4,Region,Continuous (rho; Pearson correlation),Region_500K,500000,500
900,0.1,0.0428,0.026200843698749775,20,0.005858686757825152,Region,Continuous (rho; Pearson correlation),Region_500K,500000,500
1000,0.1,0.0691,0.021130920223068474,20,0.0047250174045906125,Region,Continuous (rho; Pearson correlation),Region_500K,500000,500
1100,0.1,0.1046,0.03148332892182782,20,0.007039886362719216,Region,Continuous (rho; Pearson correlation),Region_500K,500000,500
1200,0.1,0.1561,0.039520680795329374,20,0.008837092877542693,Region,Continuous (rho; Pearson correlation),Region_500K,500000,500
900,0.15,0.6609,0.05260168098174489,20,0.011762093440593945,Region,Continuous (rho; Pearson correlation),Region_500K,500000,500
1000,0.15,0.7348,0.03277611453803711,20,0.007328962014537009,Region,Continuous (rho; Pearson correlation),Region_500K,500000,500
1100,0.15,0.8047,0.045270066792179806,20,0.010122694669326988,Region,Continuous (rho; Pearson correlation),Region_500K,500000,500
1200,0.15,0.8568,0.02549220727161436,20,0.005700230835584415,Region,Continuous (rho; Pearson correlation),Region_500K,500000,500
900,0.18,0.9164,0.024049072637772163,20,0.005377536121388873,Region,Continuous (rho; Pearson correlation),Region_500K,500000,500
1000,0.18,0.9543999999999999,0.016073515319830995,20,0.0035941472892526377,Region,Continuous (rho; Pearson correlation),Region_500K,500000,500
1100,0.18,0.9747,0.00927418601904176,20,0.0020737710374555533,Region,Continuous (rho; Pearson correlation),Region_500K,500000,500
1200,0.18,0.9863,0.007462890649212633,20,0.0016687530800286983,Region,Continuous (rho; Pearson correlation),Region_500K,500000,500
900,0.2,0.9807,0.008541539365760848,20,0.0019099462654331694,Region,Continuous (rho; Pearson correlation),Region_500K,500000,500
1000,0.2,0.9907,0.004366137640379295,20,9.762980563008633e-4,Region,Continuous (rho; Pearson correlation),Region_500K,500000,500
1100,0.2,0.9956,0.003346640106136305,20,7.483314773547889e-4,Region,Continuous (rho; Pearson correlation),Region_500K,500000,500
1200,0.2,0.999,0.0012139539573337692,20,2.714483570153187e-4,Region,Continuous (rho; Pearson correlation),Region_500K,500000,500
900,0.05,1e-4,4.4721359549995795e-4,20,1e-4,Region,Continuous (rho; Pearson correlation),Region_100K,100000,500
1000,0.05,7e-4,0.0011742858972247996,20,2.6257830912139837e-4,Region,Continuous (rho; Pearson correlation),Region_100K,100000,500
1100,0.05,6.000000000000001e-4,9.403246919632546e-4,20,2.1026299321513873e-4,Region,Continuous (rho; Pearson correlation),Region_100K,100000,500
1200,0.05,5e-4,0.0011002392084403618,20,2.4602096615832094e-4,Region,Continuous (rho; Pearson correlation),Region_100K,100000,500
900,0.07,0.0036,0.003530319800632351,20,7.894035056527441e-4,Region,Continuous (rho; Pearson correlation),Region_100K,100000,500
1000,0.07,0.0073,0.008442374323051918,20,0.0018877722877842856,Region,Continuous (rho; Pearson correlation),Region_100K,100000,500
1100,0.07,0.0132,0.011321149281439211,20,0.0025314859376720975,Region,Continuous (rho; Pearson correlation),Region_100K,100000,500
1200,0.07,0.014,0.009222398363709267,20,0.002062190965683675,Region,Continuous (rho; Pearson correlation),Region_100K,100000,500
900,0.1,0.1224,0.02466277826156144,20,0.005514764870685546,Region,Continuous (rho; Pearson correlation),Region_100K,100000,500
1000,0.1,0.1772,0.03196972251826307,20,0.007148647277264199,Region,Continuous (rho; Pearson correlation),Region_100K,100000,500
1100,0.1,0.2473,0.0418884483511046,20,0.009366541798505885,Region,Continuous (rho; Pearson correlation),Region_100K,100000,500
1200,0.1,0.31779999999999997,0.053519893005950794,20,0.011967411890982153,Region,Continuous (rho; Pearson correlation),Region_100K,100000,500
900,0.15,0.7842,0.03390326796855089,20,0.007581001183707099,Region,Continuous (rho; Pearson correlation),Region_100K,100000,500
1000,0.15,0.8462999999999999,0.03274317928170208,20,0.007321597467334859,Region,Continuous (rho; Pearson correlation),Region_100K,100000,500
1100,0.15,0.9063,0.026693385737018516,20,0.005968822505759672,Region,Continuous (rho; Pearson correlation),Region_100K,100000,500
1200,0.15,0.9396,0.01778941139820921,20,0.003977833316610537,Region,Continuous (rho; Pearson correlation),Region_100K,100000,500
